Date,Open,High,Low,Close,Volume
07/27/2023,2109.4,2109.4,2109.4,2109.4,1
07/31/2023,2125.8,2125.8,2125.8,2125.8,1
09/20/2023,2100.0,2100.0,2100.0,2100.0,1
09/27/2023,2049.0,2049.0,2042.8,2042.8,3
10/02/2023,1990.0,1990.0,1990.0,1990.0,1
10/11/2023,2016.7,2016.7,2016.7,2016.7,1
10/13/2023,2060.0,2060.0,2060.0,2060.0,2
10/30/2023,2142.8,2142.8,2141.5,2141.5,3
11/17/2023,2117.0,2117.0,2114.0,2114.0,2
11/21/2023,2125.0,2140.0,2124.6,2140.0,3
11/23/2023,2130.0,2130.0,2130.0,2130.0,1
11/27/2023,2145.6,2145.6,2145.6,2145.6,1
12/01/2023,2188.0,2188.0,2188.0,2188.0,1
12/05/2023,2140.4,2145.1,2136.8,2144.2,6
12/06/2023,2146.2,2146.2,2146.2,2146.2,1
12/07/2023,2153.2,2153.2,2153.2,2153.2,10
12/08/2023,2130.1,2132.3,2130.1,2132.3,2
12/11/2023,2130.6,2130.6,2099.7,2099.7,4
12/12/2023,2100.0,2100.0,2100.0,2100.0,1
12/14/2023,2150.6,2154.0,2138.6,2154.0,3
12/19/2023,2160.6,2160.6,2160.6,2160.6,1
12/22/2023,2170.8,2177.6,2170.2,2170.2,3
12/28/2023,2193.0,2199.0,2186.2,2188.0,5
12/29/2023,2186.0,2186.0,2176.7,2177.7,16
