Date,Open,High,Low,Close,Volume
01/03/2023,1841.6,1864.0,1841.4,1852.5,262
01/04/2023,1852.0,1876.7,1852.0,1865.7,109
01/05/2023,1869.5,1869.5,1840.0,1846.5,241
01/06/2023,1850.4,1881.7,1848.8,1878.5,187
01/09/2023,1882.0,1893.0,1881.4,1883.7,314
01/10/2023,1882.2,1892.6,1880.3,1889.9,246
01/11/2023,1888.5,1898.2,1878.9,1887.9,193
01/12/2023,1887.6,1912.0,1881.0,1907.7,761
01/13/2023,1908.7,1932.3,1904.5,1931.7,715
01/16/2023,1930.1,1936.1,1922.5,1925.0,198
01/17/2023,1926.0,1928.6,1914.7,1918.7,186
01/18/2023,1918.7,1934.7,1907.0,1914.0,545
01/19/2023,1913.2,1944.0,1909.9,1941.0,666
01/20/2023,1941.4,1945.0,1931.0,1936.1,520
01/23/2023,1936.1,1943.7,1920.1,1939.9,791
01/24/2023,1940.5,1950.6,1926.3,1945.7,966
01/25/2023,1946.0,1956.0,1928.7,1955.1,1039
01/26/2023,1955.3,1957.0,1926.5,1937.3,1844
01/27/2023,1936.8,1943.0,1923.7,1935.3,1506
01/30/2023,1936.2,1940.8,1927.3,1929.8,1746
01/31/2023,1929.5,1938.0,1907.4,1935.1,1602
02/01/2023,1935.1,1961.7,1928.0,1958.0,1368
02/02/2023,1959.3,1966.3,1917.1,1918.5,1662
02/03/2023,1918.2,1923.6,1866.1,1871.0,2197
02/06/2023,1866.7,1885.4,1865.9,1872.3,1367
02/07/2023,1871.9,1888.5,1869.4,1873.1,1236
02/08/2023,1877.4,1890.0,1874.0,1879.9,886
02/09/2023,1879.0,1893.7,1862.0,1864.0,833
02/10/2023,1864.7,1873.3,1855.0,1867.1,716
02/13/2023,1866.7,1868.5,1852.7,1855.7,416
02/14/2023,1856.0,1871.0,1845.0,1856.9,600
02/15/2023,1856.3,1861.7,1831.8,1839.1,443
02/16/2023,1838.9,1846.0,1828.3,1837.9,439
02/17/2023,1835.5,1844.6,1819.8,1843.2,402
02/20/2023,1842.0,1848.0,1838.2,1841.6,163
02/21/2023,1843.6,1845.0,1831.1,1835.2,479
02/22/2023,1837.0,1846.4,1825.1,1825.1,213
02/23/2023,1823.6,1832.7,1818.3,1821.9,410
02/24/2023,1825.2,1827.1,1808.8,1810.2,187
02/27/2023,1811.6,1817.5,1808.9,1815.5,105
02/28/2023,1808.1,1830.0,1808.1,1826.7,139
03/01/2023,1827.1,1841.7,1827.1,1840.0,195
03/02/2023,1830.0,1836.3,1830.0,1836.3,6
03/03/2023,1837.3,1855.4,1837.3,1854.0,3
03/06/2023,1853.3,1853.8,1844.2,1844.2,4
03/07/2023,1840.9,1840.9,1824.4,1825.6,8
03/08/2023,1811.6,1812.9,1811.5,1811.5,61
03/09/2023,1816.4,1829.2,1815.6,1828.0,60
03/10/2023,1852.3,1868.5,1852.0,1868.5,225
03/13/2023,1890.8,1913.1,1875.1,1912.4,149
03/14/2023,1912.2,1912.2,1901.1,1903.3,39
03/15/2023,1903.9,1924.8,1898.5,1919.4,17
03/16/2023,1909.9,1931.7,1909.9,1917.0,10
03/17/2023,1946.0,1985.1,1946.0,1985.1,66
03/20/2023,1988.3,2003.9,1968.9,1979.7,66
03/21/2023,1973.8,1973.8,1939.9,1940.3,30
03/22/2023,1948.0,1974.0,1948.0,1969.3,15
03/23/2023,1990.5,1994.6,1990.5,1993.4,9
03/24/2023,1991.7,1995.4,1985.5,1985.5,14
03/27/2023,1957.2,1957.2,1956.8,1956.8,3
