Date,Open,High,Low,Close,Volume
01/03/2023,1847.2,1872.2,1847.2,1861.5,3727
01/04/2023,1861.4,1887.0,1858.3,1876.7,3172
01/05/2023,1876.0,1880.0,1846.1,1854.1,4264
01/06/2023,1851.9,1891.1,1851.6,1886.9,4773
01/09/2023,1886.4,1902.4,1886.4,1892.7,5600
01/10/2023,1891.7,1901.4,1889.0,1897.9,3939
01/11/2023,1897.8,1907.1,1887.5,1896.2,5343
01/12/2023,1895.2,1922.8,1891.0,1917.0,6043
01/13/2023,1916.0,1942.1,1911.9,1940.6,8214
01/16/2023,1939.9,1948.3,1930.8,1934.6,3636
01/17/2023,1935.0,1938.6,1923.2,1927.9,6975
01/18/2023,1928.0,1946.4,1915.5,1923.2,8420
01/19/2023,1924.5,1953.6,1918.7,1950.5,15657
01/20/2023,1949.8,1955.5,1938.8,1944.5,13863
01/23/2023,1948.0,1953.3,1929.2,1948.9,21954
01/24/2023,1948.9,1960.5,1935.0,1955.6,27601
01/25/2023,1955.2,1966.3,1937.5,1964.1,39508
01/26/2023,1965.0,1966.5,1935.1,1946.4,62286
01/27/2023,1945.8,1952.1,1933.0,1943.9,82099
01/30/2023,1944.0,1950.1,1936.2,1939.0,116160
01/31/2023,1938.6,1946.9,1915.5,1943.8,186355
02/01/2023,1944.0,1970.8,1936.1,1966.8,202308
02/02/2023,1967.1,1975.2,1925.6,1927.1,240736
02/03/2023,1926.3,1932.4,1874.5,1877.7,293670
02/06/2023,1878.0,1894.0,1873.2,1880.2,157555
02/07/2023,1880.3,1897.2,1877.5,1885.1,170889
02/08/2023,1885.1,1898.9,1881.4,1888.2,121296
02/09/2023,1888.3,1902.3,1870.2,1873.4,174932
02/10/2023,1873.5,1883.5,1863.5,1876.4,146238
02/13/2023,1876.7,1877.2,1860.8,1864.3,123647
02/14/2023,1864.1,1881.6,1852.5,1864.8,207884
02/15/2023,1865.1,1870.9,1839.3,1846.6,162902
02/16/2023,1846.5,1854.9,1836.6,1845.3,161220
02/17/2023,1845.7,1853.1,1827.7,1851.3,156973
02/20/2023,1850.5,1856.4,1846.3,1850.3,63237
02/21/2023,1850.8,1853.5,1839.0,1844.0,138123
02/22/2023,1843.7,1855.0,1831.9,1834.2,134181
02/23/2023,1834.7,1841.2,1824.8,1829.6,171750
02/24/2023,1829.7,1835.1,1815.5,1818.0,159677
02/27/2023,1818.0,1827.3,1812.0,1824.2,118679
02/28/2023,1823.9,1838.6,1810.8,1833.8,168352
03/01/2023,1834.0,1852.5,1829.6,1843.6,172447
03/02/2023,1843.8,1845.3,1835.9,1842.1,128204
03/03/2023,1842.1,1864.4,1842.0,1862.8,144046
03/06/2023,1861.0,1864.3,1850.6,1852.4,118724
03/07/2023,1852.6,1856.9,1817.1,1817.6,206166
03/08/2023,1818.0,1828.7,1813.4,1818.1,144418
03/09/2023,1818.0,1839.4,1815.4,1835.0,156895
03/10/2023,1835.1,1874.3,1830.0,1872.7,284666
03/13/2023,1877.1,1919.5,1875.7,1918.9,360781
03/14/2023,1919.4,1919.4,1899.8,1908.3,236735
03/15/2023,1908.2,1942.5,1889.5,1923.3,318895
03/16/2023,1922.8,1938.0,1911.5,1923.8,223555
03/17/2023,1925.9,1993.7,1922.3,1993.7,298557
03/20/2023,1989.7,2014.9,1970.0,1982.8,290645
03/21/2023,1983.1,1988.7,1938.6,1943.6,210508
03/22/2023,1943.5,1982.3,1936.5,1973.4,217913
03/23/2023,1974.0,2006.1,1967.3,1996.1,225995
03/24/2023,1996.1,2006.5,1977.7,1981.0,212721
03/27/2023,1982.6,1984.0,1945.0,1957.7,154885
03/28/2023,1957.8,1977.1,1949.9,1975.3,120934
03/29/2023,1975.4,1976.0,1959.5,1966.2,59122
03/30/2023,1965.9,1984.4,1954.9,1981.1,4284
03/31/2023,1981.3,1986.8,1968.0,1969.8,318
04/03/2023,1968.1,1991.7,1950.0,1984.9,328
04/04/2023,1984.6,2027.1,1979.0,2023.8,479
04/05/2023,2022.1,2033.8,2013.6,2022.3,75
04/06/2023,2022.2,2023.3,2005.0,2009.4,90
04/10/2023,2000.0,2006.6,1984.0,1988.9,133
04/11/2023,1991.4,2006.5,1991.4,2004.0,47
04/12/2023,2005.2,2025.7,2005.2,2017.6,111
04/13/2023,2015.6,2048.6,2015.6,2040.9,77
04/14/2023,2041.0,2047.8,1995.0,2003.7,185
04/17/2023,2002.7,2007.6,1983.2,1995.6,206
04/18/2023,1996.9,2006.1,1996.9,2004.6,18
04/19/2023,2005.7,2006.4,1969.8,1995.3,52
04/20/2023,1998.0,2003.6,1998.0,2003.6,3
04/21/2023,1996.2,1996.2,1974.1,1982.9,36
04/24/2023,1981.3,1989.8,1977.4,1988.7,33
04/25/2023,1995.7,1999.1,1982.3,1996.2,81
04/26/2023,1997.8,1998.8,1985.6,1986.6,13
