Date,Open,High,Low,Close,Volume
02/28/2023,1841.0,1845.3,1841.0,1845.3,3
03/01/2023,1839.5,1860.0,1839.5,1852.9,12
03/02/2023,1847.0,1852.7,1847.0,1852.7,15
03/03/2023,1852.2,1869.5,1852.2,1869.5,48
03/06/2023,1866.7,1870.1,1859.5,1860.3,17
03/07/2023,1862.8,1862.8,1829.7,1829.7,37
03/08/2023,1824.5,1833.1,1821.9,1826.7,116
03/09/2023,1826.5,1846.1,1826.5,1843.1,26
03/10/2023,1847.0,1880.2,1847.0,1880.2,58
03/13/2023,1890.0,1927.0,1884.1,1926.3,416
03/14/2023,1926.7,1926.7,1911.1,1916.2,132
03/15/2023,1914.9,1950.2,1898.7,1932.5,153
03/16/2023,1925.0,1944.3,1921.5,1932.2,137
03/17/2023,1934.1,2000.9,1934.1,2000.9,349
03/20/2023,2000.5,2021.7,1979.1,1991.7,677
03/21/2023,1995.2,1996.2,1950.1,1951.9,695
03/22/2023,1954.2,1990.0,1948.3,1980.3,691
03/23/2023,1978.8,2013.5,1977.5,2004.0,627
03/24/2023,2004.1,2013.2,1986.6,1989.6,911
03/27/2023,1990.9,1990.9,1954.6,1965.5,566
03/28/2023,1966.5,1984.6,1958.3,1983.1,794
03/29/2023,1983.6,1983.6,1968.2,1973.5,699
03/30/2023,1973.0,1993.3,1962.7,1989.0,586
03/31/2023,1988.5,1995.5,1975.3,1976.8,709
04/03/2023,1982.6,1998.5,1956.9,1992.2,736
04/04/2023,1993.2,2034.2,1985.9,2029.8,900
04/05/2023,2030.0,2040.1,2018.7,2028.0,1038
04/06/2023,2028.4,2028.6,2007.9,2014.1,603
04/10/2023,2003.6,2011.2,1988.0,1997.6,580
04/11/2023,1996.7,2013.4,1996.2,2010.0,418
04/12/2023,2010.0,2034.1,2007.0,2019.3,674
04/13/2023,2019.5,2053.0,2019.5,2045.3,599
04/14/2023,2044.9,2051.9,1996.7,2009.3,878
04/17/2023,2004.8,2018.2,1984.6,1997.8,591
04/18/2023,1997.1,2013.4,1994.5,2007.4,219
04/19/2023,2008.5,2009.7,1971.9,1997.6,829
04/20/2023,1996.5,2014.5,1994.2,2007.5,270
04/21/2023,2005.1,2007.0,1973.0,1984.5,466
04/24/2023,1983.2,1991.0,1975.3,1990.3,305
04/25/2023,1995.4,2005.0,1979.3,1999.9,565
04/26/2023,2000.0,2009.8,1986.6,1989.7,303
04/27/2023,1990.6,2002.3,1979.9,1988.0,102
04/28/2023,1986.9,1990.1,1977.7,1990.0,68
05/01/2023,1980.1,2005.0,1976.9,1980.3,173
05/02/2023,1994.7,2018.0,1994.7,2015.9,134
05/03/2023,2017.1,2035.1,2015.2,2035.0,55
05/04/2023,2045.0,2072.0,2040.0,2047.9,500
05/05/2023,2046.4,2046.4,2004.3,2012.0,21
05/08/2023,2022.5,2024.6,2022.5,2024.6,2
05/09/2023,2026.6,2037.3,2025.9,2037.3,13
05/10/2023,2032.3,2044.3,2029.5,2029.5,9
05/11/2023,2034.1,2038.3,2014.0,2014.4,88
05/15/2023,2013.8,2017.1,2013.8,2017.1,2
05/17/2023,1983.6,1983.6,1983.6,1983.6,1
05/18/2023,1956.8,1956.8,1956.8,1956.8,1
05/19/2023,1960.0,1976.7,1960.0,1976.7,5
05/22/2023,1980.5,1980.5,1980.5,1980.5,2
05/24/2023,1975.4,1975.4,1969.2,1969.2,14
05/26/2023,1948.2,1948.4,1948.2,1948.4,4
