Date,Open,High,Low,Close,Volume
01/03/2023,1866.1,1887.3,1864.7,1876.8,573
01/04/2023,1876.0,1902.6,1874.0,1893.9,756
01/05/2023,1894.2,1896.2,1862.3,1870.2,955
01/06/2023,1867.9,1907.1,1867.9,1902.9,739
01/09/2023,1902.5,1918.7,1902.5,1909.1,692
01/10/2023,1908.2,1917.6,1908.0,1914.5,413
01/11/2023,1913.1,1923.3,1904.4,1914.2,653
01/12/2023,1913.8,1939.6,1908.2,1933.8,862
01/13/2023,1932.4,1958.0,1929.4,1957.0,622
01/16/2023,1955.9,1964.5,1948.0,1950.8,251
01/17/2023,1953.9,1955.5,1940.4,1945.0,744
01/18/2023,1944.0,1961.0,1933.3,1940.3,770
01/19/2023,1939.1,1969.2,1935.4,1966.9,1073
01/20/2023,1968.0,1971.1,1956.2,1961.7,802
01/23/2023,1961.7,1969.2,1946.7,1965.8,952
01/24/2023,1965.7,1977.3,1952.2,1972.6,1162
01/25/2023,1972.5,1983.0,1954.6,1980.8,994
01/26/2023,1981.8,1983.1,1952.4,1963.2,1628
01/27/2023,1962.7,1968.5,1950.0,1961.3,1261
01/30/2023,1962.0,1966.6,1952.9,1955.5,2043
01/31/2023,1955.3,1963.6,1932.5,1960.6,3161
02/01/2023,1959.7,1987.7,1953.2,1983.5,2046
02/02/2023,1985.4,1992.1,1942.5,1943.9,2448
02/03/2023,1943.3,1949.1,1891.3,1894.3,3552
02/06/2023,1890.0,1910.3,1889.7,1897.1,1550
02/07/2023,1897.0,1913.4,1894.4,1901.7,1620
02/08/2023,1901.8,1915.4,1898.5,1905.4,1470
02/09/2023,1902.7,1919.0,1887.4,1889.4,1635
02/10/2023,1890.4,1899.9,1880.4,1892.5,1018
02/13/2023,1892.5,1893.0,1877.6,1880.9,882
02/14/2023,1881.2,1898.0,1869.6,1881.9,2344
02/15/2023,1881.6,1887.0,1856.4,1864.4,1841
02/16/2023,1863.5,1871.4,1853.5,1862.0,1297
02/17/2023,1862.0,1869.6,1844.6,1868.0,1758
02/20/2023,1867.1,1873.0,1863.1,1866.9,898
02/21/2023,1867.7,1870.1,1855.7,1860.7,1833
02/22/2023,1860.6,1871.4,1848.6,1850.7,1865
02/23/2023,1851.3,1857.9,1841.6,1846.5,2337
02/24/2023,1845.1,1851.7,1832.7,1834.4,2313
02/27/2023,1834.0,1843.6,1829.0,1840.8,1831
02/28/2023,1841.0,1855.0,1827.6,1850.5,2560
03/01/2023,1850.5,1869.0,1846.4,1860.0,4359
03/02/2023,1860.1,1861.9,1852.7,1859.0,2925
03/03/2023,1858.9,1880.8,1858.9,1879.6,3689
03/06/2023,1877.7,1880.9,1867.5,1869.5,1868
03/07/2023,1868.6,1873.4,1834.2,1834.6,6791
03/08/2023,1834.7,1845.3,1830.2,1834.9,4495
03/09/2023,1834.9,1856.1,1832.7,1851.8,4604
03/10/2023,1852.1,1891.1,1847.0,1888.8,9286
03/13/2023,1893.8,1935.6,1892.5,1935.0,22015
03/14/2023,1935.8,1935.8,1916.4,1924.5,13631
03/15/2023,1924.5,1959.1,1906.0,1940.2,21704
03/16/2023,1940.2,1954.6,1928.4,1940.3,14139
03/17/2023,1942.7,2010.4,1939.1,2009.8,23757
03/20/2023,2008.6,2031.7,1987.0,1999.7,29331
03/21/2023,2000.7,2005.7,1955.9,1960.8,30217
03/22/2023,1959.7,1999.4,1953.7,1990.2,36837
03/23/2023,1992.5,2023.3,1984.4,2013.7,40699
03/24/2023,2013.3,2023.9,1995.7,1999.0,52634
03/27/2023,2000.3,2001.5,1962.7,1975.4,54814
03/28/2023,1975.4,1994.2,1967.6,1992.5,58746
03/29/2023,1992.1,1993.2,1976.4,1983.1,113136
03/30/2023,1982.7,2002.4,1971.6,1998.0,160384
03/31/2023,1998.0,2005.5,1984.2,1987.0,152960
04/03/2023,1990.0,2008.0,1965.9,2001.7,180269
04/04/2023,2001.3,2043.4,1994.0,2038.1,215975
04/05/2023,2038.2,2049.2,2026.1,2037.1,182257
