Date,Open,High,Low,Close,Volume
01/03/2023,1882.4,1898.5,1882.4,1893.2,65
01/04/2023,1903.0,1913.8,1903.0,1908.3,190
01/05/2023,1906.2,1906.2,1878.5,1889.2,44
01/06/2023,1890.0,1923.3,1890.0,1920.7,43
01/09/2023,1920.7,1933.4,1920.7,1925.1,41
01/10/2023,1925.5,1934.4,1925.5,1930.6,50
01/11/2023,1934.4,1936.2,1922.8,1930.4,65
01/12/2023,1930.3,1955.6,1930.3,1949.1,89
01/13/2023,1950.0,1975.7,1947.0,1973.3,319
01/16/2023,1979.8,1979.8,1968.0,1970.0,43
01/17/2023,1962.6,1966.7,1957.0,1963.0,237
01/18/2023,1955.0,1976.6,1950.0,1955.8,296
01/19/2023,1959.3,1986.6,1958.1,1984.6,156
01/20/2023,1982.5,1987.2,1974.6,1978.2,140
01/23/2023,1977.4,1986.8,1963.5,1983.3,633
01/24/2023,1985.0,1993.0,1971.6,1989.4,247
01/25/2023,1987.6,1999.6,1972.0,1998.0,259
01/26/2023,1999.6,2000.0,1969.2,1981.0,231
01/27/2023,1979.8,1981.7,1967.2,1979.6,116
01/30/2023,1978.6,1983.0,1969.6,1971.3,142
01/31/2023,1970.0,1980.1,1950.0,1977.5,339
02/01/2023,1973.8,2002.0,1970.4,2000.9,153
02/02/2023,2004.1,2009.0,1960.0,1962.1,272
02/03/2023,1960.8,1965.5,1908.7,1912.3,492
02/06/2023,1913.0,1927.1,1910.8,1913.6,228
02/07/2023,1918.4,1929.0,1912.2,1917.0,217
02/08/2023,1920.0,1931.2,1916.0,1922.9,323
02/09/2023,1920.3,1935.8,1904.7,1907.4,209
02/10/2023,1910.4,1916.4,1899.6,1909.0,219
02/13/2023,1908.5,1910.6,1895.0,1898.7,258
02/14/2023,1900.1,1915.6,1887.2,1900.1,281
02/15/2023,1903.3,1905.0,1874.0,1882.8,273
02/16/2023,1885.1,1888.8,1871.3,1881.5,228
02/17/2023,1875.0,1886.9,1863.0,1886.1,222
02/20/2023,1880.8,1890.5,1880.7,1889.5,189
02/21/2023,1885.2,1886.6,1873.7,1878.4,395
02/22/2023,1878.9,1888.0,1867.3,1868.0,276
02/23/2023,1868.0,1874.9,1859.6,1864.2,238
02/24/2023,1863.8,1868.5,1850.7,1852.4,385
02/27/2023,1852.8,1861.1,1846.8,1858.6,444
02/28/2023,1858.6,1872.2,1847.9,1868.8,300
03/01/2023,1865.4,1886.8,1865.4,1879.1,474
03/02/2023,1876.7,1880.0,1871.1,1877.6,325
03/03/2023,1881.6,1896.9,1878.8,1896.5,432
03/06/2023,1894.7,1898.5,1885.7,1887.5,371
03/07/2023,1890.0,1891.1,1853.2,1854.0,457
03/08/2023,1853.2,1861.9,1848.6,1854.1,309
03/09/2023,1853.2,1874.1,1851.4,1871.0,251
