Date,Open,High,Low,Close,Volume
06/30/2023,1923.3,1934.0,1923.3,1934.0,23
07/03/2023,1932.5,1943.1,1927.9,1938.3,33
07/04/2023,1943.2,1946.1,1941.7,1942.2,23
07/05/2023,1942.1,1952.2,1936.2,1936.9,64
07/06/2023,1932.8,1941.5,1918.4,1926.0,1379
07/07/2023,1940.3,1949.1,1931.5,1940.1,122
07/10/2023,1940.0,1941.0,1928.2,1940.8,137
07/11/2023,1942.0,1953.1,1941.3,1947.1,131
07/12/2023,1947.3,1973.9,1947.2,1973.2,760
07/13/2023,1972.1,1976.4,1967.3,1973.8,177
07/14/2023,1972.3,1977.0,1966.1,1969.0,109
07/17/2023,1968.8,1972.9,1959.1,1968.9,184
07/18/2023,1967.9,1997.2,1967.9,1990.7,489
07/19/2023,1990.2,1993.0,1984.1,1991.0,119
07/20/2023,1989.8,1998.4,1977.9,1983.5,188
07/21/2023,1982.3,1984.2,1969.8,1973.6,127
07/24/2023,1973.5,1978.9,1964.9,1966.2,294
07/25/2023,1966.7,1976.6,1962.0,1976.4,314
07/26/2023,1977.0,1989.4,1973.5,1982.8,801
07/27/2023,1982.4,1991.8,1951.5,1956.0,3265
07/28/2023,1955.5,1972.0,1953.9,1967.8,1187
07/31/2023,1967.9,1981.1,1958.0,1974.5,484
08/01/2023,1974.3,1974.4,1949.6,1952.0,1421
08/02/2023,1957.1,1962.9,1940.5,1941.9,662
08/03/2023,1943.2,1945.5,1936.6,1940.8,361
08/04/2023,1941.0,1954.6,1927.5,1948.1,1015
08/07/2023,1948.5,1952.0,1937.0,1942.3,458
08/08/2023,1941.8,1943.4,1928.2,1929.9,746
08/09/2023,1930.2,1936.3,1919.8,1920.0,586
08/10/2023,1920.6,1934.4,1915.9,1915.9,610
08/11/2023,1916.0,1924.5,1914.3,1917.2,269
08/14/2023,1914.9,1918.6,1906.0,1910.5,399
08/15/2023,1911.0,1915.0,1899.7,1904.9,327
08/16/2023,1905.1,1909.6,1894.1,1894.3,294
08/17/2023,1894.6,1904.6,1886.6,1890.6,594
08/18/2023,1891.3,1898.0,1888.4,1890.5,581
08/21/2023,1890.6,1899.9,1886.3,1896.5,631
08/22/2023,1896.3,1905.7,1890.8,1898.8,576
08/23/2023,1899.2,1921.7,1899.2,1917.1,512
08/24/2023,1918.7,1923.0,1911.6,1916.6,501
08/25/2023,1916.0,1921.2,1903.0,1913.8,377
08/28/2023,1915.2,1926.0,1912.3,1919.6,247
08/29/2023,1920.3,1937.0,1914.4,1936.9,958
08/30/2023,1936.0,1946.4,1934.6,1942.9,76
08/31/2023,1944.4,1944.4,1938.4,1938.4,31
09/01/2023,1950.0,1950.0,1936.6,1938.5,3
09/05/2023,1934.4,1934.4,1924.7,1925.5,14
09/06/2023,1924.1,1925.3,1916.3,1916.3,21
09/07/2023,1917.6,1921.5,1917.6,1917.9,11
09/08/2023,1924.0,1924.7,1922.5,1922.5,12
09/11/2023,1923.0,1928.3,1921.8,1923.2,35
09/12/2023,1920.8,1920.8,1915.2,1915.2,6
09/13/2023,1910.3,1914.6,1908.9,1914.6,5
09/14/2023,1903.0,1906.1,1903.0,1905.2,4
09/15/2023,1923.5,1927.3,1923.5,1926.6,4
09/18/2023,1928.2,1929.8,1926.4,1929.8,10
09/19/2023,1934.0,1934.0,1934.0,1934.0,1
09/20/2023,1933.3,1933.3,1929.2,1929.2,2
09/21/2023,1924.0,1924.0,1924.0,1924.0,1
09/26/2023,1905.0,1905.1,1904.6,1905.1,8
