Date,Open,High,Low,Close,Volume
02/10/2023,2011.1,2011.1,2011.1,2011.1,1
03/10/2023,2019.3,2019.3,2019.3,2019.3,1
03/15/2023,2055.0,2055.0,2055.0,2055.0,1
03/17/2023,2111.0,2111.0,2111.0,2111.0,2
03/20/2023,2095.3,2108.0,2094.0,2108.0,5
03/21/2023,2102.5,2104.9,2102.5,2104.9,2
03/22/2023,2098.5,2098.5,2098.5,2098.5,1
03/23/2023,2111.3,2126.0,2111.3,2126.0,2
03/27/2023,2091.2,2091.2,2091.2,2091.2,1
03/29/2023,2101.3,2101.3,2101.3,2101.3,1
03/30/2023,2109.2,2109.2,2109.2,2109.2,2
04/03/2023,2109.0,2113.6,2100.7,2113.6,4
04/04/2023,2154.1,2154.1,2154.1,2154.1,1
04/06/2023,2146.7,2146.7,2146.7,2146.7,1
05/03/2023,2160.5,2160.5,2160.5,2160.5,1
05/05/2023,2142.9,2142.9,2142.9,2142.9,1
05/16/2023,2130.0,2130.0,2130.0,2130.0,1
05/18/2023,2102.7,2102.7,2102.7,2102.7,1
05/30/2023,2076.5,2076.5,2076.5,2076.5,1
06/01/2023,2114.1,2114.1,2114.1,2114.1,1
06/15/2023,2075.3,2096.1,2070.9,2096.1,24
06/16/2023,2103.2,2103.6,2103.2,2103.6,2
06/20/2023,2070.6,2070.6,2070.6,2070.6,1
06/28/2023,2045.9,2045.9,2045.9,2045.9,1
07/07/2023,2069.4,2069.4,2069.4,2069.4,1
07/10/2023,2064.0,2064.0,2064.0,2064.0,1
07/12/2023,2088.4,2088.4,2086.4,2086.4,2
07/18/2023,2099.2,2099.2,2099.2,2099.2,1
07/21/2023,2091.4,2091.4,2091.4,2091.4,1
07/25/2023,2096.8,2096.8,2096.8,2096.8,1
07/27/2023,2100.9,2100.9,2078.9,2084.8,8
07/28/2023,2094.6,2094.6,2094.6,2094.6,1
08/02/2023,2081.3,2081.3,2081.3,2081.3,1
08/16/2023,2018.0,2018.0,2018.0,2018.0,1
08/21/2023,2008.0,2015.7,2008.0,2015.7,2
08/22/2023,2024.0,2024.4,2024.0,2024.4,2
08/23/2023,2026.0,2038.9,2026.0,2038.9,2
08/25/2023,2025.4,2025.4,2025.4,2025.4,1
09/06/2023,2038.9,2038.9,2038.9,2038.9,1
09/11/2023,2045.2,2047.0,2045.2,2047.0,2
09/12/2023,2030.2,2030.2,2029.2,2029.2,2
09/13/2023,2026.4,2027.0,2026.4,2026.7,4
09/14/2023,2022.9,2022.9,2020.3,2020.3,4
09/15/2023,2043.1,2043.1,2043.1,2043.1,1
09/20/2023,2047.3,2048.5,2047.2,2048.5,4
09/25/2023,2033.3,2033.3,2033.3,2033.3,1
09/26/2023,2029.0,2029.0,2016.5,2016.5,6
09/28/2023,1979.7,1979.7,1975.9,1976.2,4
09/29/2023,1974.9,1977.8,1970.0,1970.0,7
10/02/2023,1952.5,1953.4,1937.7,1937.7,3
10/04/2023,1927.6,1927.6,1926.1,1926.2,3
10/06/2023,1935.7,1937.9,1935.7,1937.9,2
10/09/2023,1959.0,1959.0,1957.2,1957.2,3
10/11/2023,1980.9,1980.9,1980.9,1980.9,1
10/12/2023,1982.9,1982.9,1980.3,1980.3,2
10/13/2023,1990.1,2020.2,1990.1,2020.2,4
10/17/2023,2027.2,2029.2,2027.2,2029.2,3
10/18/2023,2061.9,2061.9,2061.9,2061.9,1
10/19/2023,2056.5,2063.9,2056.5,2063.9,2
10/20/2023,2099.5,2103.6,2086.7,2086.7,3
10/27/2023,2091.8,2092.4,2083.6,2087.0,58
10/30/2023,2110.1,2110.1,2100.5,2105.8,90
10/31/2023,2101.4,2112.7,2089.4,2089.4,36
11/01/2023,2084.3,2098.5,2075.1,2078.4,19
11/02/2023,2084.7,2087.2,2084.1,2085.2,9
11/03/2023,2095.0,2095.0,2095.0,2095.0,2
11/06/2023,2086.9,2089.3,2085.8,2089.3,4
11/07/2023,2076.7,2076.7,2058.2,2063.2,57
11/08/2023,2053.9,2053.9,2052.9,2052.9,4
11/09/2023,2046.0,2064.7,2043.4,2061.7,83
11/10/2023,2058.2,2060.5,2035.9,2035.9,65
11/13/2023,2038.1,2046.3,2032.0,2045.4,86
11/14/2023,2045.0,2067.1,2043.1,2061.3,139
11/15/2023,2068.3,2071.5,2056.0,2059.7,12
11/16/2023,2064.4,2080.5,2060.2,2079.0,35
11/17/2023,2079.8,2090.7,2076.0,2077.2,116
11/20/2023,2071.7,2082.3,2062.0,2074.5,95
11/21/2023,2077.4,2102.2,2077.4,2093.4,242
11/22/2023,2095.3,2101.2,2087.1,2087.6,347
11/23/2023,2087.6,2093.5,2087.6,2089.2,33
11/24/2023,2088.4,2099.5,2088.0,2097.4,94
11/27/2023,2098.7,2113.4,2098.5,2109.5,82
11/28/2023,2111.6,2139.6,2107.9,2137.3,99
