Date,Open,High,Low,Close,Volume
09/04/2023,1961.8,1961.8,1954.9,1955.3,5
09/05/2023,1951.5,1951.5,1943.4,1943.4,7
09/06/2023,1932.1,1932.8,1931.5,1932.7,6
09/07/2023,1933.6,1938.0,1932.9,1933.2,7
09/08/2023,1940.0,1943.5,1936.0,1943.5,4
09/11/2023,1937.2,1938.5,1937.2,1938.5,2
09/12/2023,1938.2,1938.2,1924.0,1926.7,10
09/13/2023,1923.0,1925.4,1921.8,1921.8,4
09/14/2023,1915.2,1924.0,1914.7,1922.4,16
09/15/2023,1928.6,1940.9,1928.6,1935.0,25
09/18/2023,1938.3,1943.6,1938.3,1943.6,11
09/19/2023,1944.7,1948.4,1942.7,1942.7,27
09/20/2023,1941.3,1959.4,1941.3,1945.0,29
09/21/2023,1935.4,1939.2,1924.8,1931.0,149
09/22/2023,1933.4,1939.0,1933.4,1936.1,44
09/25/2023,1936.1,1937.1,1925.5,1925.5,229
09/26/2023,1925.8,1925.8,1908.5,1909.7,173
09/27/2023,1910.7,1912.2,1881.7,1885.2,338
09/28/2023,1885.4,1886.7,1865.5,1874.0,739
09/29/2023,1873.0,1887.3,1853.4,1855.3,707
10/02/2023,1853.9,1855.1,1833.8,1835.1,520
10/03/2023,1835.7,1839.9,1822.8,1830.5,346
10/04/2023,1829.1,1836.0,1823.0,1827.3,416
10/05/2023,1828.0,1834.1,1817.8,1825.5,240
10/06/2023,1826.2,1840.2,1815.3,1834.8,598
10/09/2023,1850.7,1867.8,1849.1,1866.4,703
10/10/2023,1866.3,1870.0,1858.1,1865.2,350
10/11/2023,1864.6,1881.5,1864.3,1878.5,459
10/12/2023,1880.2,1888.8,1872.1,1873.5,393
10/13/2023,1875.2,1934.8,1875.2,1933.7,558
10/16/2023,1931.9,1931.9,1912.0,1923.6,339
10/17/2023,1923.2,1934.1,1918.0,1926.0,132
10/18/2023,1926.6,1966.1,1926.6,1952.2,279
10/19/2023,1950.3,1980.7,1948.4,1975.9,290
10/20/2023,1976.5,1998.9,1975.7,1984.1,540
10/23/2023,1977.9,1983.1,1963.6,1974.4,189
10/24/2023,1975.1,1980.3,1958.3,1973.8,967
10/25/2023,1972.0,1988.8,1971.0,1982.4,103
10/26/2023,1981.6,1992.5,1974.4,1985.8,92
10/27/2023,1987.5,2009.8,1978.5,2006.5,166
10/30/2023,2004.1,2004.1,1992.5,1996.9,42
10/31/2023,1996.5,2001.0,1983.7,1983.7,11
11/01/2023,1990.5,1990.5,1977.8,1979.8,21
11/02/2023,1989.1,1990.3,1979.5,1981.5,18
11/03/2023,1989.0,1989.0,1989.0,1989.0,1
11/06/2023,1979.4,1979.4,1977.4,1977.4,9
11/07/2023,1966.5,1966.5,1960.7,1962.6,7
11/08/2023,1967.8,1967.8,1947.7,1947.7,40
11/09/2023,1951.7,1951.7,1945.3,1945.5,3
11/10/2023,1959.6,1959.6,1935.4,1935.4,5
11/13/2023,1939.9,1947.2,1934.0,1947.2,17
11/14/2023,1965.8,1965.8,1965.8,1965.8,1
11/15/2023,1962.8,1962.8,1960.0,1960.1,6
11/16/2023,1965.3,1982.7,1964.6,1980.8,39
11/17/2023,1982.5,1984.0,1979.8,1980.3,19
11/20/2023,1978.7,1979.4,1969.7,1976.9,42
11/21/2023,1990.7,2005.5,1988.5,1998.8,15
11/22/2023,1999.1,1999.4,1991.0,1991.0,24
11/23/2023,1991.9,1991.9,1991.5,1991.5,4
11/24/2023,1993.3,2001.6,1993.3,2001.0,6
11/27/2023,2011.7,2011.8,2011.7,2011.8,7
11/28/2023,2040.6,2042.7,2040.6,2042.7,2
