Date,Open,High,Low,Close,Volume
01/03/2023,1916.4,1934.6,1914.0,1923.3,36
01/04/2023,1934.7,1949.0,1934.5,1938.5,60
01/05/2023,1936.4,1937.4,1914.7,1920.3,34
01/06/2023,1924.0,1954.0,1923.6,1952.1,33
01/09/2023,1956.0,1967.8,1956.0,1957.7,93
01/10/2023,1962.3,1966.8,1958.4,1963.6,89
01/11/2023,1968.9,1970.1,1954.1,1964.1,111
01/12/2023,1968.4,1985.1,1964.2,1984.2,132
01/13/2023,1982.6,2008.2,1980.4,2008.2,242
01/16/2023,2004.4,2014.5,1999.9,2001.4,94
01/17/2023,2000.0,2000.0,1990.6,1995.9,166
01/18/2023,1988.4,2010.0,1983.5,1989.4,208
01/19/2023,1985.9,2017.9,1985.9,2015.7,295
01/20/2023,2016.2,2020.0,2005.7,2010.7,44
01/23/2023,2008.4,2015.5,1994.9,2015.5,1025
01/24/2023,2016.5,2025.2,2004.7,2023.0,2175
01/25/2023,2021.3,2032.4,2007.9,2032.4,629
01/26/2023,2028.2,2028.2,2008.0,2013.7,170
01/27/2023,2008.5,2018.7,2003.7,2011.7,53
01/30/2023,2013.0,2017.5,2004.3,2004.4,108
01/31/2023,2007.1,2013.7,1985.0,2010.7,162
02/01/2023,2009.5,2036.4,2004.0,2036.0,281
02/02/2023,2037.0,2042.0,1993.8,1994.6,204
02/03/2023,1997.0,1998.5,1943.4,1946.1,241
02/06/2023,1941.1,1958.0,1940.4,1947.3,103
02/07/2023,1950.0,1962.2,1945.0,1949.8,70
02/08/2023,1953.1,1962.0,1953.0,1955.8,142
02/09/2023,1958.6,1969.2,1940.0,1941.2,83
02/10/2023,1939.3,1950.8,1933.1,1940.8,65
02/13/2023,1944.0,1944.0,1930.4,1932.9,101
02/14/2023,1934.8,1947.2,1922.5,1935.5,113
02/15/2023,1937.5,1939.5,1910.0,1918.1,304
02/16/2023,1917.1,1923.7,1906.8,1920.6,108
02/17/2023,1910.0,1922.0,1897.4,1920.8,106
02/20/2023,1922.9,1924.4,1922.9,1924.4,5
02/21/2023,1915.7,1919.1,1910.1,1913.0,105
02/22/2023,1913.8,1920.0,1902.4,1903.8,109
02/23/2023,1903.1,1910.0,1895.6,1899.8,154
02/24/2023,1903.3,1903.9,1886.2,1887.8,168
02/27/2023,1886.8,1896.0,1885.0,1894.1,106
