,GCH23,GCJ23,GCK23,GCM23,GCN23,GCQ23,GCU23,GCV23,GCX23,GCZ23
2023-01-03,1852.5,1861.5,1845.3,1876.8,2000.7,1893.2,1934.0,1909.3,1955.3,1923.3
2023-01-04,1865.7,1876.7,1845.3,1893.9,2000.7,1908.3,1934.0,1929.2,1955.3,1938.5
2023-01-05,1846.5,1854.1,1845.3,1870.2,2000.7,1889.2,1934.0,1904.2,1955.3,1920.3
2023-01-06,1878.5,1886.9,1845.3,1902.9,2000.7,1920.7,1934.0,1918.8,1955.3,1952.1
2023-01-09,1883.7,1892.7,1845.3,1909.1,2000.7,1925.1,1934.0,1940.5,1955.3,1957.7
2023-01-10,1889.9,1897.9,1845.3,1914.5,2000.7,1930.6,1934.0,1949.0,1955.3,1963.6
2023-01-11,1887.9,1896.2,1845.3,1914.2,2000.7,1930.4,1934.0,1954.3,1955.3,1964.1
2023-01-12,1907.7,1917.0,1845.3,1933.8,2000.7,1949.1,1934.0,1967.1,1955.3,1984.2
2023-01-13,1931.7,1940.6,1845.3,1957.0,2000.7,1973.3,1934.0,1990.4,1955.3,2008.2
2023-01-16,1925.0,1934.6,1845.3,1950.8,2000.7,1970.0,1934.0,1987.2,1955.3,2001.4
2023-01-17,1918.7,1927.9,1845.3,1945.0,2000.7,1963.0,1934.0,1974.1,1955.3,1995.9
2023-01-18,1914.0,1923.2,1845.3,1940.3,2000.7,1955.8,1934.0,1975.0,1955.3,1989.4
2023-01-19,1941.0,1950.5,1845.3,1966.9,2000.7,1984.6,1934.0,1997.7,1955.3,2015.7
2023-01-20,1936.1,1944.5,1845.3,1961.7,2000.7,1978.2,1934.0,1993.7,1955.3,2010.7
2023-01-23,1939.9,1948.9,1845.3,1965.8,2000.7,1983.3,1934.0,1988.0,1955.3,2015.5
2023-01-24,1945.7,1955.6,1845.3,1972.6,2000.7,1989.4,1934.0,1999.8,1955.3,2023.0
2023-01-25,1955.1,1964.1,1845.3,1980.8,2000.7,1998.0,1934.0,1994.7,1955.3,2032.4
2023-01-26,1937.3,1946.4,1845.3,1963.2,2000.7,1981.0,1934.0,1992.7,1955.3,2013.7
2023-01-27,1935.3,1943.9,1845.3,1961.3,2000.7,1979.6,1934.0,1996.4,1955.3,2011.7
2023-01-30,1929.8,1939.0,1845.3,1955.5,2000.7,1971.3,1934.0,1989.5,1955.3,2004.4
2023-01-31,1935.1,1943.8,1845.3,1960.6,2000.7,1977.5,1934.0,1994.7,1955.3,2010.7
2023-02-01,1958.0,1966.8,1845.3,1983.5,2000.7,2000.9,1934.0,2018.5,1955.3,2036.0
2023-02-02,1918.5,1927.1,1845.3,1943.9,2000.7,1962.1,1934.0,1979.0,1955.3,1994.6
2023-02-03,1871.0,1877.7,1845.3,1894.3,2000.7,1912.3,1934.0,1928.9,1955.3,1946.1
2023-02-06,1872.3,1880.2,1845.3,1897.1,2000.7,1913.6,1934.0,1927.5,1955.3,1947.3
2023-02-07,1873.1,1885.1,1845.3,1901.7,2000.7,1917.0,1934.0,1933.8,1955.3,1949.8
2023-02-08,1879.9,1888.2,1845.3,1905.4,2000.7,1922.9,1934.0,1939.0,1955.3,1955.8
2023-02-09,1864.0,1873.4,1845.3,1889.4,2000.7,1907.4,1934.0,1923.9,1955.3,1941.2
2023-02-10,1867.1,1876.4,1845.3,1892.5,2000.7,1909.0,1934.0,1926.0,1955.3,1940.8
2023-02-13,1855.7,1864.3,1845.3,1880.9,2000.7,1898.7,1934.0,1915.0,1955.3,1932.9
2023-02-14,1856.9,1864.8,1845.3,1881.9,2000.7,1900.1,1934.0,1908.0,1955.3,1935.5
2023-02-15,1839.1,1846.6,1845.3,1864.4,2000.7,1882.8,1934.0,1899.9,1955.3,1918.1
2023-02-16,1837.9,1845.3,1845.3,1862.0,2000.7,1881.5,1934.0,1905.2,1955.3,1920.6
2023-02-17,1843.2,1851.3,1845.3,1868.0,2000.7,1886.1,1934.0,1902.5,1955.3,1920.8
2023-02-20,1841.6,1850.3,1845.3,1866.9,2000.7,1889.5,1934.0,1903.3,1955.3,1924.4
2023-02-21,1835.2,1844.0,1845.3,1860.7,2000.7,1878.4,1934.0,1898.1,1955.3,1913.0
2023-02-22,1825.1,1834.2,1845.3,1850.7,2000.7,1868.0,1934.0,1885.5,1955.3,1903.8
2023-02-23,1821.9,1829.6,1845.3,1846.5,2000.7,1864.2,1934.0,1880.6,1955.3,1899.8
2023-02-24,1810.2,1818.0,1845.3,1834.4,2000.7,1852.4,1934.0,1872.6,1955.3,1887.8
2023-02-27,1815.5,1824.2,1845.3,1840.8,2000.7,1858.6,1934.0,1876.1,1955.3,1894.1
2023-02-28,1826.7,1833.8,1845.3,1850.5,2000.7,1868.8,1934.0,1888.8,1955.3,1904.7
2023-03-01,1840.0,1843.6,1852.9,1860.0,2000.7,1879.1,1934.0,1898.4,1955.3,1915.1
2023-03-02,1836.3,1842.1,1852.7,1859.0,2000.7,1877.6,1934.0,1895.3,1955.3,1913.9
2023-03-03,1854.0,1862.8,1869.5,1879.6,2000.7,1896.5,1934.0,1907.8,1955.3,1933.2
2023-03-06,1844.2,1852.4,1860.3,1869.5,2000.7,1887.5,1934.0,1909.0,1955.3,1922.5
2023-03-07,1825.6,1817.6,1829.7,1834.6,2000.7,1854.0,1934.0,1872.0,1955.3,1889.0
2023-03-08,1811.5,1818.1,1826.7,1834.9,2000.7,1854.1,1934.0,1872.6,1955.3,1892.7
2023-03-09,1828.0,1835.0,1843.1,1851.8,2000.7,1871.0,1934.0,1883.2,1955.3,1906.8
2023-03-10,1868.5,1872.7,1880.2,1888.8,2000.7,1906.6,1934.0,1925.6,1955.3,1943.6
2023-03-13,1912.4,1918.9,1926.3,1935.0,2000.7,1952.0,1934.0,1968.4,1955.3,1981.2
2023-03-14,1903.3,1908.3,1916.2,1924.5,2000.7,1941.4,1934.0,1958.3,1955.3,1974.4
2023-03-15,1919.4,1923.3,1932.5,1940.2,2000.7,1955.7,1934.0,1970.0,1955.3,1982.8
2023-03-16,1917.0,1923.8,1932.2,1940.3,2000.7,1956.6,1934.0,1973.2,1955.3,1989.8
2023-03-17,1985.1,1993.7,2000.9,2009.8,2000.7,2027.1,1934.0,2039.3,1955.3,2057.5
2023-03-20,1979.7,1982.8,1991.7,1999.7,2000.7,2016.7,1934.0,2031.0,1955.3,2047.3
2023-03-21,1940.3,1943.6,1951.9,1960.8,2000.7,1977.8,1934.0,1994.3,1955.3,2010.7
2023-03-22,1969.3,1973.4,1980.3,1990.2,2000.7,2005.8,1934.0,2027.1,1955.3,2039.9
2023-03-23,1993.4,1996.1,2004.0,2013.7,2000.7,2030.3,1934.0,2051.6,1955.3,2068.1
2023-03-24,1985.5,1981.0,1989.6,1999.0,2000.7,2017.0,1934.0,2032.2,1955.3,2048.0
2023-03-27,1956.8,1957.7,1965.5,1975.4,2000.7,1993.4,1934.0,2002.4,1955.3,2026.0
2023-03-28,1956.8,1975.3,1983.1,1992.5,2000.7,2010.1,1934.0,2027.2,1955.3,2041.8
2023-03-29,1956.8,1966.2,1973.5,1983.1,2000.7,1999.6,1934.0,2016.3,1955.3,2033.1
2023-03-30,1956.8,1981.1,1989.0,1998.0,2000.7,2015.9,1934.0,2034.5,1955.3,2054.0
2023-03-31,1956.8,1969.8,1976.8,1987.0,2000.7,2004.6,1934.0,2033.8,1955.3,2040.6
2023-04-03,1956.8,1984.9,1992.2,2001.7,2000.7,2019.4,1934.0,2038.1,1955.3,2053.7
2023-04-04,1956.8,2023.8,2029.8,2038.1,2000.7,2056.1,1934.0,2075.7,1955.3,2092.0
2023-04-05,1956.8,2022.3,2028.0,2037.1,2000.7,2054.8,1934.0,2072.8,1955.3,2089.1
2023-04-06,1956.8,2009.4,2014.1,2023.7,2000.7,2040.8,1934.0,2060.6,1955.3,2074.0
