Date,Open,High,Low,Close,Volume
2023-01-03,1841.6,1864.0,1841.4,1852.5,262
2023-01-04,1852.0,1876.7,1852.0,1865.7,109
2023-01-05,1869.5,1869.5,1840.0,1846.5,241
2023-01-06,1850.4,1881.7,1848.8,1878.5,187
2023-01-09,1882.0,1893.0,1881.4,1883.7,314
2023-01-10,1882.2,1892.6,1880.3,1889.9,246
2023-01-11,1888.5,1898.2,1878.9,1887.9,193
2023-01-12,1887.6,1912.0,1881.0,1907.7,761
2023-01-13,1908.7,1932.3,1904.5,1931.7,715
2023-01-16,1930.1,1936.1,1922.5,1925.0,198
2023-01-17,1926.0,1928.6,1914.7,1918.7,186
2023-01-18,1918.7,1934.7,1907.0,1914.0,545
2023-01-19,1913.2,1944.0,1909.9,1941.0,666
2023-01-20,1941.4,1945.0,1931.0,1936.1,520
2023-01-23,1936.1,1943.7,1920.1,1939.9,791
2023-01-24,1940.5,1950.6,1926.3,1945.7,966
2023-01-25,1946.0,1956.0,1928.7,1955.1,1039
2023-01-26,1955.3,1957.0,1926.5,1937.3,1844
2023-01-27,1936.8,1943.0,1923.7,1935.3,1506
2023-01-30,1936.2,1940.8,1927.3,1929.8,1746
2023-01-31,1929.5,1938.0,1907.4,1935.1,1602
2023-02-01,1935.1,1961.7,1928.0,1958.0,1368
2023-02-02,1959.3,1966.3,1917.1,1918.5,1662
2023-02-03,1918.2,1923.6,1866.1,1871.0,2197
2023-02-06,1866.7,1885.4,1865.9,1872.3,1367
2023-02-07,1871.9,1888.5,1869.4,1873.1,1236
2023-02-08,1877.4,1890.0,1874.0,1879.9,886
2023-02-09,1879.0,1893.7,1862.0,1864.0,833
2023-02-10,1864.7,1873.3,1855.0,1867.1,716
2023-02-13,1866.7,1868.5,1852.7,1855.7,416
2023-02-14,1856.0,1871.0,1845.0,1856.9,600
2023-02-15,1856.3,1861.7,1831.8,1839.1,443
2023-02-16,1838.9,1846.0,1828.3,1837.9,439
2023-02-17,1835.5,1844.6,1819.8,1843.2,402
2023-02-20,1842.0,1848.0,1838.2,1841.6,163
2023-02-21,1843.6,1845.0,1831.1,1835.2,479
2023-02-22,1837.0,1846.4,1825.1,1825.1,213
2023-02-23,1823.6,1832.7,1818.3,1821.9,410
2023-02-24,1825.2,1827.1,1808.8,1810.2,187
2023-02-27,1811.6,1817.5,1808.9,1815.5,105
2023-02-28,1808.1,1830.0,1808.1,1826.7,139
2023-03-01,1827.1,1841.7,1827.1,1840.0,195
2023-03-02,1830.0,1836.3,1830.0,1836.3,6
2023-03-03,1837.3,1855.4,1837.3,1854.0,3
2023-03-06,1853.3,1853.8,1844.2,1844.2,4
2023-03-07,1840.9,1840.9,1824.4,1825.6,8
2023-03-08,1811.6,1812.9,1811.5,1811.5,61
2023-03-09,1816.4,1829.2,1815.6,1828.0,60
2023-03-10,1852.3,1868.5,1852.0,1868.5,225
2023-03-13,1890.8,1913.1,1875.1,1912.4,149
2023-03-14,1912.2,1912.2,1901.1,1903.3,39
2023-03-15,1903.9,1924.8,1898.5,1919.4,17
2023-03-16,1909.9,1931.7,1909.9,1917.0,10
2023-03-17,1946.0,1985.1,1946.0,1985.1,66
2023-03-20,1988.3,2003.9,1968.9,1979.7,66
2023-03-21,1973.8,1973.8,1939.9,1940.3,30
2023-03-22,1948.0,1974.0,1948.0,1969.3,15
2023-03-23,1990.5,1994.6,1990.5,1993.4,9
2023-03-24,1991.7,1995.4,1985.5,1985.5,14
2023-03-27,1982.6,1984.0,1945.0,1957.7,154885
2023-03-28,1957.8,1977.1,1949.9,1975.3,120934
2023-03-29,1975.4,1976.0,1959.5,1966.2,59122
2023-03-30,1965.9,1984.4,1954.9,1981.1,4284
2023-03-31,1981.3,1986.8,1968.0,1969.8,318
2023-04-03,1968.1,1991.7,1950.0,1984.9,328
2023-04-04,1984.6,2027.1,1979.0,2023.8,479
2023-04-05,2022.1,2033.8,2013.6,2022.3,75
2023-04-06,2022.2,2023.3,2005.0,2009.4,90
2023-04-10,2000.0,2006.6,1984.0,1988.9,133
2023-04-11,1991.4,2006.5,1991.4,2004.0,47
2023-04-12,2005.2,2025.7,2005.2,2017.6,111
2023-04-13,2015.6,2048.6,2015.6,2040.9,77
